id,Name,Star Name,Distance,Mass,Radius
0,SDSS J000013.54+255418.6 [de],Sun,0.000015813,1,1
1,2MASS J00040288-6410358,Sirius,0008.6,2.1,1.71
2,2MASS J00242463-0158201,Alpha Centauri,0004.4,1.1,1.2
3,2MASS J00274197+0503417,Vega,0025,2.2,2.7
4,2MASSW J0030300-145033,Rigel,0860,23,78.9
5,2MASS J00332386-1521309 [de],Procyon,0011.4,1.5,1.9
6,2MASS J00345157+0523050,Betelgeuse,0640[1],20,950
7,2MASS 0036+1821,Achernar,0144,6.7,9.3
8,2MASSW J0045214+163445,Hadar,0390,10.5,8.6
9,WISEP J004701.06+680352.1 [fr],Altair,0017,1.8,1.8
10,2MASS J00501994-3322402 [de],Acrux,0320,18,8.9
11,2MASS J00584253-0651239 [de],Antares,0600,12,680
12,2MASSI J0103320+193536,Pollux,0034,1.9,8.8
13,SDSSp J010752.33+004156.1 [de],Fomalhaut,0025,1.9,1.8
14,2MASSI J0117474-340325 [de],Deneb,"2,600",19,203
15,2MASS J01415823-4633574 [de],Mimosa,0350,16,8.4
16,SDSS J015141.69+124429.6,Regulus,0077,3.8,3.1
17,SDSS J020742.48+000056.2 [de],Gacrux,0088,1.5,84
18,2MASS J02103857-3015313,Bellatrix,0240,8.6,5.8
19,2MASS J02340093-6442068,Elnath,0130,5.0,4.2
20,2MASS J02411151-0326587 [de],Miaplacidus,0110,3.5,6.8
21,2MASS J02431371−2453298,Alnilam,"2,000",32,42
22,LP 771-21,Gamma Velorum,"01,100",9.0,6
23,2MASS J02535980+3206373,Alioth,0081,2.9,4.2
24,WISE J0254+0223,Alnitak,01050,33,20
25,DEN 0255-4700,Dubhe,0120,4.25,30
26,2MASS J03185403-3421292 [de],Mirfak,0590,8.5,68
27,2MASS J03205965+1854233,Wezen,"1,600",17,200
28,2MASS J03231002-4631237,Sargas,0270,5.7,26
29,SDSS J032553.17+042540.1,Kaus Australis,0140,3.5,6.8
30,2MASS J03264225-2102057 [de],Avior,0630,9.0,130
31,2MASS J03284265+2302051 [de],Alkaid,0104,6.1,3.4
32,2MASS J03341218-4953322,Menkalinan,081,2.39,2.77
33,LP 944-20,Atria,0390,7,92
34,2MASP J0345432+254023,Alhena,0109,2.8,3.3
35,Teide 1,Peacock,0180,5.9,4.8
36,2MASS J03510004-0052452,Alsephina[2],0080,2.4,2.9
37,2MASS J03552337+1133437,Mirzam,0500,13.5,10
38,2MASS J04151954−0935066,Alphard,0180,3.0,50
39,2MASS J04285096-2253227 [de],Scheat,0196,2.1,95
40,2MASS J04351612-1606574,Almaaz,0653,15,140
41,2MASS J04362788-4114465,Rasalgethi,0360,2.8,280
42,2MASS J04390101-2353083 [de],Tau Ceti,011.9,0.783,0.893
43,2MASS J04433764+0002040,Ran,010.48,0.82,0.74
44,2MASS J04455387-3048204 [de],V382 Carinae,"08,900",20,485
45,2MASS J04510093-3402150 [de],Eta Carinae,"07,500",100,60 - 881
46,2MASS J05002100+0330501 [de],Delta Cephei,0887,4.5,44.5
47,2MASS J05012406-0010452 [de],Mu Cephei,"06,000",19.2,972
48,2MASS J05160945-0445499 [de],Titawin,044.25,1.27,1.48
49,2MASS J0523−1403,Rho Cassiopeiae,"08,154",22,636-981
50,SDSS J053951.99-005902.0,La Superba,"01,000",,129 - 342
51,LSR 0602+3910 [de],61 Cygni,011.41,0.7,0.665
52,2MASS J06085283-2753583,R Doradus,0178,0.7 - 1.0,298
53,2MASS J06244595-4521548 [de],54 Piscium,036.1,0.76,0.94
54,2MASS J06411840-4322329 [de],Mira,0300,1.2,370
55,DENIS-P J0652197-253450 [de],RW Cephei,"014,000",13.9,"1,158"
57,UGPS J072227.51-054031.2,HD 140283,0202,0.81,2.04
58,2MASSI J0727182+171001 [de],II Pegasi,0130,0.8,3.4
59,2MASS J07290002-3954043 [de],VY Canis Majoris,"03,900",17,"1,420"
60,SDSS J074201.41+205520.5 [de],Pistol Star,"025,000",100,320
61,DENIS-P J0751164-253043 [de],UY Scuti,"05,100",7 - 10,755
62,2MASS J07522390+1612157,Barnard's Star,05.98,0.14,0.20
63,DENIS J081730.0-615520,HE 1523-0901,"010,000",0.80,27
64,2MASS J08251968+2115521 [de],R136a1,"0163,000",290,32
65,SDSSp J083008.12+482847.4 [de],Melnick 42,"0163,000",189,21.1
66,LHS 2021,WR 102,"018,134",19,0.39
67,SDSS J083048.80+012831.1 [de],VFTS 352,"0164,000",57.48,14.47
68,2MASSI J0835425-081923 [de],YBP 1194,"02,772",1.01,0.99
69,2MASSI J0847287-153237 [de],Gliese 1214,047.5,0.16,0.21
71,2MASSI J0859254-194926 [de],NML Cygni,"05,251",50,"1,640 - 2,770"
72,2MASSI J0937347+293142,WOH G64,"0163,000",<20,"1,540 - 1,730"
73,2MASS 0939−2448,TRAPPIST-1,039.6,0.089,0.12
74,2MASS J09490860-1545485 [de],2MASS J0523-1403,040.3,0.07,0.086
